player's exp as of Dec 9 19:12:04 1998

puck 11049
    age:    9 hours 51 minutes 34 seconds.
Sun Jan 24 23:48:56 1999 max   10000
Tue Jan 26 22:43:05 1999 tarken   9052
Thu Jan 28 12:25:33 1999 lebonan   5885
Sun Jan 31 00:37:53 1999 killjoy   10000
Mon Feb  1 09:52:43 1999 ezekiel   7989
Sun Feb 28 05:46:06 1999 thalia   7928
Sun Feb 28 23:38:40 1999 noamuth   10000
Wed Mar  3 00:01:26 1999 jinx   6441
Wed Mar  3 11:14:33 1999 gortex   7555
Thu Mar  4 20:30:42 1999 naz   5962
Mon Mar  8 01:34:29 1999 deadpool   4905
Wed Mar 10 17:19:46 1999 raesh   9006
Fri Mar 12 18:33:02 1999 demetrius   5885
Sat Mar 13 00:37:12 1999 lolo   10000
Sun Mar 14 12:55:01 1999 fozzy   9675
Tue Mar 16 12:43:25 1999 tifa   7817
Tue Mar 16 16:28:18 1999 vince   6344
Thu Mar 18 07:47:56 1999 lebonan   9615
Sat Mar 20 23:17:57 1999 punkette   10000
Sun Mar 21 15:35:05 1999 hotlips   6140
Thu Mar 25 16:36:35 1999 legion   10000
Thu Apr  1 21:43:13 1999 soria   10000
Fri Apr  2 18:47:26 1999 kandy   8427
Sat Apr  3 03:22:00 1999 kandy   7600
Sat Apr 17 18:28:52 1999 newkil   7520
Mon Apr 19 01:17:41 1999 xero   7765
Wed Apr 21 11:27:33 1999 grlie   5891
Sat May  1 01:39:05 1999 x   10000
Mon May 10 16:39:01 1999 seyran   10000
Thu May 13 21:36:38 1999 lando   7271
Sun May 16 10:23:17 1999 sarek   6575
Sun May 16 16:08:58 1999 fflam   10000
Mon May 17 16:37:56 1999 lancer   5885
Wed May 19 20:58:18 1999 reset   10000
Thu May 20 21:07:28 1999 trell   10000
Tue May 25 14:53:53 1999 damien   10000
Thu Jun  3 18:32:13 1999 psychax   10000
Mon Jun 21 01:41:24 1999 corwin   10000
Tue Jun 22 04:11:12 1999 eve   10000
Mon Jul 12 15:17:37 1999 zeustest   10000
Mon Jul 19 15:02:57 1999 joker   10000
Fri Jul 23 14:41:04 1999 ireland   10000
Tue Aug  3 11:55:37 1999 bonedaddy   5885
Mon Aug  9 23:54:40 1999 rayne   6910
Tue Aug 17 22:58:17 1999 zeus   10000
Thu Nov 18 21:13:31 1999 doombunny   5885
Thu Dec  2 03:52:19 1999 wocket   835566701
Thu Dec 16 21:53:36 1999 eville   7816
Mon Jan  3 06:15:21 2000 dante   7672
Mon Jan  3 16:08:48 2000 vach   10000
Mon Jan  3 18:38:40 2000 peace   10000
Tue Jan  4 19:14:08 2000 amoril   10000
Tue Jan 11 13:22:49 2000 cadderly   6712
Mon Jan 17 17:23:18 2000 siren   5954
Wed Jan 19 20:39:30 2000 zero   5885
Thu Jan 27 21:10:41 2000 keighvin   10000
Sun Feb 27 21:59:21 2000 moreta   7891
Tue Feb 29 01:53:40 2000 reno   10000
Thu Mar 16 06:00:29 2000 achillies   9466
Tue Apr 11 13:54:04 2000 bluntman   5697
Tue Apr 11 14:27:16 2000 blade   10000
Thu Apr 13 01:51:24 2000 unknown   10000
Tue Apr 25 23:59:07 2000 flash   10000
Wed May 17 17:35:33 2000 braxxus   6333
Fri May 19 15:47:13 2000 craven   6488
Mon May 22 12:31:44 2000 gaston   10000
Tue May 30 14:26:55 2000 goddess   10000
Wed May 31 00:07:38 2000 cirrus   5937
Sun Jun 11 17:03:38 2000 whiterabbit   6656
Sat Jun 24 16:09:36 2000 rai   10000
Fri Jun 30 14:45:34 2000 shadeau   9326
Mon Jul  3 17:44:57 2000 giles   6924
Sat Jul  8 18:28:19 2000 sheyenne   8581
Sat Jul  8 21:20:15 2000 lebonan   10000
Sat Jul  8 23:54:28 2000 lucidity   10000
Tue Jul 11 18:24:14 2000 zander   9813
Wed Jul 12 01:50:24 2000 k   10000
Sat Jul 15 22:17:36 2000 sheyenne   6109
Mon Jul 24 09:54:21 2000 fortuno   7999
Tue Jul 25 17:56:36 2000 pearle   6086
Tue Jul 25 19:53:33 2000 pearle   9788
Fri Jul 28 14:49:49 2000 brad   9109
Mon Jul 31 22:13:27 2000 obsidian   10000
Sun Aug  6 23:37:23 2000 kupek   10000
Thu Aug 24 14:10:10 2000 gilead   7370
Fri Aug 25 21:41:15 2000 nosnejekim   5997
Tue Aug 29 22:48:08 2000 balros   10000
Sat Sep  9 14:27:41 2000 kajira   6025
Tue Sep 12 23:39:08 2000 fireknight   6918
Mon Sep 18 00:00:16 2000 cartman   10000
Mon Sep 18 17:46:49 2000 fortuno   22645
Tue Sep 19 00:21:18 2000 fortuno   10000
Sun Oct  8 14:01:31 2000 kryptonite   5885
Tue Oct 17 22:47:13 2000 nogusta   8890
Thu Oct 19 15:45:06 2000 syrus   10000
Thu Oct 26 18:32:37 2000 eurynomous   6223
Thu Nov  2 22:41:39 2000 nogusta   10000
Sat Nov  4 14:01:40 2000 bravesoul   5885
Mon Nov  6 20:14:58 2000 cartman   7869
Mon Nov  6 20:38:26 2000 mememoomoo   10000
Fri Nov 10 10:27:34 2000 healer   10000
Fri Nov 10 13:54:35 2000 cyborg   5969
Sat Nov 11 14:34:08 2000 healer   10000
Sat Nov 25 02:49:36 2000 zantax   5885
Wed Nov 29 22:03:29 2000 kysumu   7811
Sun Dec  3 14:51:35 2000 nogusta   33884
Sun Dec  3 17:06:39 2000 essence   6236
Sun Dec  3 18:19:40 2000 essence   7144
Mon Dec  4 22:08:54 2000 essence   10000
Mon Dec  4 23:19:21 2000 jane   6457
Fri Dec  8 23:58:44 2000 pino   9818
Sun Dec 10 01:12:04 2000 revenge   10000
Mon Dec 11 13:38:06 2000 pino   45985
Mon Dec 11 20:35:38 2000 asuka   6765
Mon Dec 11 23:03:31 2000 neowocket   1784
Tue Dec 12 17:14:35 2000 asuka   6108
Wed Dec 13 22:11:52 2000 asuka   10000
Thu Dec 14 18:50:54 2000 noxis   5998
Sat Dec 16 19:25:09 2000 dakeyras   10000
Sat Dec 16 19:26:35 2000 dakeyras   6134
Tue Dec 19 03:01:56 2000 amoril   10000
Tue Dec 19 04:10:48 2000 boots   6691
Thu Dec 21 11:06:31 2000 craven   6489
Fri Dec 22 11:00:42 2000 smite   7171
Sun Dec 24 18:28:51 2000 horus   10000
Mon Dec 25 21:56:23 2000 smite   6622
Tue Dec 26 16:50:49 2000 asuka   6224
Wed Dec 27 23:02:19 2000 asuka   6096
Thu Dec 28 12:53:13 2000 anakin   10000
Fri Jan  5 17:53:28 2001 boots   7204
Fri Jan 12 22:37:20 2001 blob   9868
Sat Jan 13 13:45:24 2001 arcane   7800
Wed Jan 17 19:13:41 2001 jong   5885
Mon Jan 29 10:29:04 2001 shockwave   8019
Sat Feb  3 11:59:45 2001 angelique   10000
Tue Feb  6 20:25:09 2001 trunks   7250
Wed Feb  7 18:51:08 2001 lace   10000
Wed Feb 21 22:23:21 2001 theophany   6265
Wed Feb 21 22:26:41 2001 mirae   8924
Sat Feb 24 20:36:58 2001 blob   5885
Tue Feb 27 20:08:23 2001 reverend   7655
Thu Mar  1 17:15:41 2001 mememoomoo   5885
Fri Mar  2 14:08:57 2001 vach   6201
Fri Mar  2 17:15:15 2001 vach   6926
Mon Mar  5 22:24:04 2001 xtreme   7799
Sun Mar 11 17:01:59 2001 radical   7019
Thu Mar 15 01:07:32 2001 v   10000
Sun Mar 18 22:05:28 2001 cool   6589
Mon Apr  9 21:50:59 2001 guineapig   10000
Mon Apr 23 01:09:18 2001 jael   10000
Mon Apr 23 20:44:08 2001 val   10000
Thu May  3 19:37:29 2001 xtreme   7702
Tue May 15 03:36:04 2001 noamuth   10000
Fri Jun  8 22:09:40 2001 sparkle   10000
Mon Jun 18 08:22:12 2001 shaunna   10000
Sun Jun 24 15:58:48 2001 stephanie   10000
Thu Jun 28 23:10:50 2001 irisheyes   7556
Mon Jul  2 22:56:55 2001 irisheyes   7305
Sun Jul  8 00:34:22 2001 lysander   6089
Tue Jul 17 19:08:06 2001 chaney   6899
Tue Jul 31 22:44:11 2001 skie   6853
Sat Aug 25 11:37:19 2001 princesa   5885
Fri Sep 21 16:52:17 2001 lopis   5885
Tue Sep 25 12:52:26 2001 yoshimitsu   6081
Tue Oct  2 17:56:47 2001 anthrax   10000
Wed Nov 21 06:19:19 2001 angelus   7311
Tue Dec  4 17:03:48 2001 craven   7741
Tue Dec 18 14:19:00 2001 broli   7625
Wed Dec 19 15:01:57 2001 krillgeta   6006
Sun Dec 23 22:22:33 2001 joram   10000
Wed Jan 16 20:56:45 2002 dabura   5885
Sat Jan 19 11:42:10 2002 zantax   10000
Wed Jan 23 02:04:09 2002 edgewood   6754
Sun Jan 27 14:22:02 2002 ryoohki   9186
Sun Jan 27 17:49:16 2002 kirabrat   6003
Fri Feb  1 15:59:29 2002 wang   6353
Tue Feb  5 18:37:06 2002 ryoohki   6269
Wed Feb  6 21:48:36 2002 castlevania   7623
Fri Feb 22 23:46:57 2002 feyth   10000
Fri Mar  8 02:04:07 2002 mastermind   450
Fri Mar  8 02:10:03 2002 mastermind   10000
Mon Mar 11 17:21:55 2002 rhonwyn   6833
Sat Mar 16 22:22:28 2002 sparrowhawk   10000
Sun Mar 17 15:23:27 2002 kylie   10000
Thu Apr  4 19:31:20 2002 helga   5910
Wed Apr 10 03:42:53 2002 gohan   5885
Wed Apr 24 18:42:35 2002 sabrina   9378
Wed Apr 24 22:02:16 2002 screwball   10000
Fri Apr 26 11:28:32 2002 kiros   10000
Sat May  4 12:01:52 2002 beatrix   6235
Tue Jun  4 18:12:03 2002 magnet   5885
Wed Jun  5 17:20:11 2002 screwball   10000
Sun Jun 16 21:48:29 2002 charm   10000
Wed Jun 26 19:06:29 2002 vesborda   8379
Thu Jun 27 02:15:20 2002 looc   10000
Thu Jun 27 03:30:49 2002 character   6313
Wed Jul 24 19:59:40 2002 wolfpac   10000
Thu Jul 25 16:08:51 2002 daranath   16179939
Thu Jul 25 21:56:52 2002 crissy   7386
Thu Aug  1 16:46:29 2002 juanita   6691
Fri Aug 16 00:51:18 2002 victim   8000
Sat Sep 14 16:25:31 2002 krillgeta   10000
Wed Oct  2 19:15:24 2002 sweater   5885
Fri Oct 11 23:14:05 2002 ayana   8249
Fri Nov 22 23:30:08 2002 moby   8983
Tue Nov 26 00:48:51 2002 crissy   6384
Fri Dec 13 10:57:21 2002 sid   5885
Sun Jan  5 22:59:15 2003 bio   8175
Sun Jan 12 06:52:34 2003 fury   10000
Sun Jan 12 16:42:13 2003 blackrose   10000
Sat Jan 18 01:44:23 2003 skylar   7219
Mon Jan 20 22:48:56 2003 parker   5885
Thu Mar 27 12:52:17 2003 sinai   7953
Sat Apr  5 11:22:22 2003 mara   5931
Fri May 23 21:34:27 2003 lance   10000
Sun May 25 19:52:03 2003 leech   6707
Fri Jun 20 15:00:55 2003 ernest   7777
Tue Jul  8 18:11:51 2003 tormentor   10000
Thu Jul 17 18:01:11 2003 southstar   5885
Thu Jul 24 15:50:46 2003 southstar   5885
Sat Jul 26 03:36:13 2003 dolphine   10000
Tue Jul 29 04:28:18 2003 kudzu   8337
Fri Aug  1 00:54:04 2003 jong   6443
Fri Aug  1 20:15:49 2003 bloodfist   10000
Wed Aug  6 14:42:39 2003 butterfly   10000
Sat Aug 16 13:44:03 2003 moirane   6137
Sun Aug 17 00:26:34 2003 tiff   10000
Mon Aug 18 13:58:18 2003 starfire   10000
Mon Sep  1 23:14:11 2003 rumplicious   7500
Sat Sep  6 21:50:37 2003 laci   9669
Sun Sep  7 19:04:22 2003 halotest   10000
Mon Sep 22 11:31:02 2003 ixion   5891
Wed Oct  8 14:05:38 2003 halo   10000
Thu Oct  9 17:18:41 2003 hippocratus   8099
Fri Oct 17 09:06:39 2003 tormentor   10000
Mon Oct 27 06:26:51 2003 viral   10000
Mon Oct 27 06:42:23 2003 viral   10000
Fri Nov  7 04:55:12 2003 amiro   10000
Fri Nov  7 20:24:36 2003 dazzler   5937
Tue Nov 11 16:52:47 2003 nolee   5939
Thu Dec 18 01:15:34 2003 charisma   10000
Thu Dec 18 16:55:38 2003 dazzler   10000
Sat Dec 20 02:51:19 2003 charisma   7670
Sun Jan  4 00:55:49 2004 flambe   10000
Thu Mar  4 14:06:05 2004 candor   10000
Fri Mar 26 00:13:12 2004 cooler   6699
Fri Apr  2 17:32:10 2004 velara   7520
Wed Apr  7 16:02:36 2004 blade   10000
Wed Apr 14 21:03:25 2004 hakashu   10000
Sun Apr 18 00:30:56 2004 yoda   5919
Tue May 11 15:38:29 2004 swlabr   10000
Sat May 22 03:22:24 2004 healtest   10000
Sun Aug  1 16:37:24 2004 wyatt   10000
Sat Aug 28 16:27:20 2004 nightfyre   10000
Sun Aug 29 10:01:48 2004 redhawk   10000
Wed Sep  1 00:13:43 2004 sylic   6209
Sat Sep 25 16:48:24 2004 darc   10000
Tue Oct  5 02:22:16 2004 hawkeyes   10000
Thu Oct 21 03:02:27 2004 coda   10000
Mon Oct 25 00:46:23 2004 amiro   6575
Sat Nov 20 16:54:56 2004 guest   7486
Thu Jun 23 21:17:32 2005 fox   10000
Sun Jul 31 15:08:55 2005 iquit   10000
Mon Sep 19 16:54:37 2005 fishgod   5885
Mon Sep 26 21:35:22 2005 twib   10000
Sat Oct  1 09:29:41 2005 veil   9542
Thu Dec  8 22:33:13 2005 repeat   10000
Sun Dec 11 16:19:44 2005 pandora   10000
Fri Jan 13 21:06:04 2006 fishgod   5940
Mon Apr 17 02:59:15 2006 kalel   10000
Thu Apr 27 21:29:59 2006 trunks   5885
Thu May 25 17:54:05 2006 phlegm   5885
Fri Jun 16 04:52:24 2006 farrangul   5885
Thu Aug  3 02:29:46 2006 chris   10000
Fri Aug  4 05:41:53 2006 farrangul   6393
Thu Dec 21 02:40:27 2006 rumplemintz   10000
Thu Dec 21 09:34:46 2006 rump   10000
Wed Feb 13 13:08:26 2008 numbertwo   10000
Thu Feb 14 18:24:30 2008 peace   5898
Sat Aug  2 06:49:48 2008 guest   7811
Thu Mar 19 18:22:37 2009 dorrcus   6935
Fri May 29 21:22:46 2009 grinwold   7642
Sun May 31 18:45:24 2009 tenan   8981
Mon Jun 22 20:37:47 2009 araya   10000
Fri Aug  7 05:07:16 2009 levus   5885
Fri Aug  7 08:58:28 2009 ernesto   5983
Wed Sep 23 19:12:44 2009 lok   5885
Mon Oct 12 19:53:29 2009 severance   6990
Sun Dec  6 20:17:39 2009 mythago   10000
Mon Jul 19 08:09:34 2010 keira   10000
Sun Oct 10 12:11:15 2010 gotest   10000
Wed Nov 24 12:28:18 2010 nijan   10000
Thu Nov 25 18:05:34 2010 crossfire   10000
Thu May 19 01:41:14 2011 castiel   10000
Sat May 21 14:54:27 2011 hotep   10000
Thu May 26 07:38:43 2011 asclepius   10000
Mon Jul 25 20:36:58 2011 redmischief   10000
Thu Aug 25 10:27:28 2011 fredtest   10000
Thu Aug 25 10:39:50 2011 fredtest   10000
Fri Aug 26 21:05:08 2011 mo   5885
Fri Mar 15 21:30:01 2013 sumtingwong   5923
Sat Nov 30 13:38:39 2013 moonbeam   9605
Sun Jan  5 11:08:11 2014 hands   8438
Sat Jan 11 02:18:59 2014 void   6577
Sun Jan 26 14:17:06 2014 lebronjames   7798
Thu Jan 30 20:09:27 2014 reptile   5885
Thu Jan 30 20:35:07 2014 illtwo   10000
Fri Feb 21 17:31:35 2014 lebanon   10000
Sat May 24 21:47:08 2014 blind   10000
Sun Jul 13 16:29:54 2014 ssille   10000
Tue Aug 12 21:30:21 2014 killua   8446
Wed Oct 29 10:45:19 2014 kythe   10000
Tue Jan  6 18:58:52 2015 jacksparrow   6973
Thu Feb 26 17:26:47 2015 gemma   6501
Sat May 16 21:41:50 2015 castiel   10000
Fri Jun 12 21:54:22 2015 byron   5983
Wed Jul 29 21:10:46 2015 braeden   10000
Tue Sep 15 22:46:01 2015 yesman   10000
Mon Jun 13 20:48:47 2016 elismeria   10000
Mon Jul 18 15:22:26 2016 obe   10000
Fri Nov 18 16:05:13 2016 sophie   6137
